iterations,Size_37(MVA),Size_38(MVA),Size_39(MVA),Size_40(MVA),SCR_30,SCR_36,SCR_32,SCR_34,Total Size(MVA),NPV(in millions)
41,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
42,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
43,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
44,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
45,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
46,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
47,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
48,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
49,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
50,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
51,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
52,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
53,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
54,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
55,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
56,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
57,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
58,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
59,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
60,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
61,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
62,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
63,82.0,7.0,20.0,70.0,3.0081359121766975,3.0142758652666157,3.0077754338439084,3.0188272957566564,179.0,291.341385
